AirTemp,Rainfall,TrackTemp,WindSpeed,RoundNum,year
20.53834586466165,False,27.627819548872182,0.8872180451127819,1,2021
10.621118012422361,True,16.827329192546582,0.4788819875776397,2,2021
19.392537313432832,False,38.950746268656715,0.8373134328358208,3,2021
22.203076923076924,False,32.9223076923077,0.4576923076923077,4,2021
20.760740740740744,False,37.595555555555556,0.3162962962962963,5,2021
24.17093023255814,False,38.31453488372093,0.2837209302325581,6,2021
25.314399999999996,False,35.22879999999999,1.1656,7,2021
26.692372881355933,False,52.35254237288136,0.36779661016949144,8,2021
20.96602564102564,True,33.18397435897436,0.34807692307692306,9,2021
27.226701570680625,True,37.822513089005234,0.5675392670157068,11,2021
13.012413793103448,True,15.258620689655173,0.5113793103448276,12,2021
21.504430379746836,False,36.10569620253165,0.4424050632911392,13,2021
19.13860759493671,True,21.75696202531645,0.2905063291139241,15,2021
15.82547770700637,False,18.18089171974522,0.486624203821656,16,2021
28.148447204968942,False,37.47080745341616,0.8540372670807453,17,2021
21.206707317073167,False,47.579268292682926,0.3664634146341464,18,2021
26.41513157894737,True,30.60328947368421,0.42302631578947364,20,2021
28.816062176165804,False,31.68497409326425,0.27150259067357513,21,2021
24.519108280254777,False,28.465605095541402,0.4146496815286624,22,2021
